signup_id,sent_count,opened_count,open_frequency
671289,4,4,1.0
489918,1,1,1.0
201186,1,1,1.0
672270,1,1,1.0
673374,1,1,1.0
295029,1,1,1.0
589008,1,1,1.0
76812,69,69,1.0
79608,1,1,1.0
324324,1,1,1.0
677193,1,1,1.0
652638,1,1,1.0
680097,1,1,1.0
671574,1,1,1.0
663450,1,1,1.0
680052,2,2,1.0
671950,1,1,1.0
48982,1,1,1.0
41830,1,1,1.0
42754,1,1,1.0
258250,1,1,1.0
187819,1,1,1.0
595750,1,1,1.0
571066,1,1,1.0
618226,1,1,1.0
280951,1,1,1.0
611182,1,1,1.0
680848,1,1,1.0
573259,1,1,1.0
320569,1,1,1.0
339475,1,1,1.0
654133,1,1,1.0
603976,1,1,1.0
481609,1,1,1.0
10473,99,99,1.0
86726,124,124,1.0
270016,1,1,1.0
210546,124,124,1.0
138934,128,128,1.0
214179,1,1,1.0
187757,68,68,1.0
137604,168,168,1.0
188617,67,67,1.0
188695,85,85,1.0
89797,1,1,1.0
286305,3,3,1.0
279396,99,99,1.0
571717,136,136,1.0
287446,128,128,1.0
670690,10,10,1.0
289164,90,90,1.0
489513,124,124,1.0
200349,179,179,1.0
200557,178,178,1.0
577596,141,141,1.0
594954,124,124,1.0
418988,1,1,1.0
651921,127,127,1.0
481932,1,1,1.0
671651,3,3,1.0
336200,67,67,1.0
569300,123,123,1.0
504319,128,128,1.0
123147,68,68,1.0
593442,136,136,1.0
304791,128,128,1.0
306982,140,140,1.0
455835,149,149,1.0
135178,68,68,1.0
613278,124,124,1.0
596273,113,113,1.0
596465,119,119,1.0
654046,2,2,1.0
137210,68,68,1.0
137715,1,1,1.0
677491,1,1,1.0
679482,124,124,1.0
688617,124,124,1.0
675275,14,14,1.0
591974,143,143,1.0
512271,113,113,1.0
175819,68,68,1.0
175968,68,68,1.0
566627,99,99,1.0
668968,146,146,1.0
649830,129,129,1.0
674027,146,146,1.0
674417,163,163,1.0
344735,69,69,1.0
647338,123,123,1.0
685892,1,1,1.0
691501,129,129,1.0
694430,208,208,1.0
696189,1,1,1.0
696293,3,3,1.0
690642,129,129,1.0
696913,1,1,1.0
695977,136,136,1.0
691498,79,79,1.0
5544,91,91,1.0
28168,98,98,1.0
208446,116,116,1.0
47877,149,149,1.0
187751,149,149,1.0
496095,93,93,1.0
511677,94,94,1.0
598122,1,1,1.0
650637,94,94,1.0
658924,95,95,1.0
661443,105,105,1.0
608985,125,125,1.0
669067,123,123,1.0
620189,109,109,1.0
683017,95,95,1.0
286408,65,65,1.0
647590,149,149,1.0
686753,95,95,1.0
658608,11,11,1.0
677403,94,94,1.0
696138,2,2,1.0
694230,57,57,1.0
696238,99,99,1.0
418310,1,1,1.0
489044,1,1,1.0
295667,1,1,1.0
511658,1,1,1.0
503543,1,1,1.0
503735,1,1,1.0
90788,1,1,1.0
624584,1,1,1.0
123986,1,1,1.0
679598,1,1,1.0
681908,1,1,1.0
679688,1,1,1.0
43083,4,4,1.0
90576,31,31,1.0
489299,3,3,1.0
584100,1,1,1.0
135147,31,31,1.0
648607,1,1,1.0
601861,31,31,1.0
669165,31,31,1.0
687421,2,2,1.0
697822,16,16,1.0
699162,1,1,1.0
699348,2,2,1.0
699349,1,1,1.0
699374,5,5,1.0
699708,1,1,1.0
699714,2,2,1.0
2296,1,1,1.0
701452,66,66,1.0
701854,33,33,1.0
702338,1,1,1.0
703069,2,2,1.0
703070,27,27,1.0
703599,2,2,1.0
703861,1,1,1.0
703960,63,63,1.0
704654,46,46,1.0
705190,1,1,1.0
705248,4,4,1.0
705425,3,3,1.0
705479,47,47,1.0
706409,3,3,1.0
706768,1,1,1.0
706787,41,41,1.0
706788,1,1,1.0
706803,1,1,1.0
704998,4,4,1.0
705005,4,4,1.0
705017,4,4,1.0
705020,4,4,1.0
705038,1,1,1.0
705044,4,4,1.0
705049,2,2,1.0
705050,4,4,1.0
705069,4,4,1.0
705079,4,4,1.0
705083,4,4,1.0
705094,1,1,1.0
705098,4,4,1.0
705104,4,4,1.0
705123,4,4,1.0
705136,4,4,1.0
